Periodo,Produccion,Stock_Final,Demanda,Stock_Seguridad
Periodo 185,10517.4,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 186,11241.8,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 187,11513.502,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 188,11466.736,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 189,10942.4395,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 190,11333.2555,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 191,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 192,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 193,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 194,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 195,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 196,11513.45,-118664737266.46727,4388813034.683912,-59854911009.17476
Periodo 197,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 198,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 199,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 200,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 201,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 202,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 203,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 204,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 205,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 206,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 207,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 208,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 209,11513.85,-121027944285.14322,2363207018.6759534,-60414994470.33908
Periodo 210,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 211,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 212,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 213,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 214,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 215,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 216,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 217,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 218,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 219,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 220,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 221,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 222,11332.75,-136623893566.14322,15595949281.0,-69597159619.58185
Periodo 223,11328.25,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 224,11328.25,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 225,11328.25,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 226,11328.25,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 227,11328.25,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 228,11147.15,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 229,11147.15,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 230,11147.15,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 231,11020.380000000001,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 232,10522.355,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 233,10427.2775,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 234,9843.23,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 235,9385.9525,-149541453053.14322,12917559487.0,-74230158982.82385
Periodo 236,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 237,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 238,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 239,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 240,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 241,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 242,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 243,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 244,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 245,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 246,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 247,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 248,6619.370000000001,-164092421984.14322,14550968931.0,-82958047827.62122
Periodo 249,6619.370000000001,,17570734574.0,
Periodo 250,6619.370000000001,,17570734574.0,
Periodo 251,6619.370000000001,,17570734574.0,
Periodo 252,6619.370000000001,,17570734574.0,
Periodo 253,6619.370000000001,,17570734574.0,
Periodo 254,6619.370000000001,,17570734574.0,
Periodo 255,6619.370000000001,,17570734574.0,
Periodo 256,6619.370000000001,,17570734574.0,
Periodo 257,6619.370000000001,,17570734574.0,
Periodo 258,6619.370000000001,,17570734574.0,
Periodo 259,6619.370000000001,,17570734574.0,
Periodo 260,6619.370000000001,,17570734574.0,
Periodo 261,6619.370000000001,,17570734574.0,
Periodo 262,6619.370000000001,,18736097037.0,
Periodo 263,6619.370000000001,,18736097037.0,
Periodo 264,6619.370000000001,,18736097037.0,
Periodo 265,6619.370000000001,,18736097037.0,
Periodo 266,6619.370000000001,,18736097037.0,
Periodo 267,6619.370000000001,,18736097037.0,
Periodo 268,6619.370000000001,,18736097037.0,
Periodo 269,6619.370000000001,,18736097037.0,
Periodo 270,6528.780000000001,,18736097037.0,
Periodo 271,6438.1900000000005,,18736097037.0,
Periodo 272,6347.6,,18736097037.0,
Periodo 273,6257.01,,18736097037.0,
Periodo 274,6166.42,,18736097037.0,
Periodo 275,6075.83,,9330235978.0,
Periodo 276,9793.0,,9330235978.0,
Periodo 277,10517.4,,9330235978.0,
Periodo 278,11241.8,,9330235978.0,
Periodo 279,11513.502,,9330235978.0,
Periodo 280,11466.736,,9330235978.0,
Periodo 281,10942.4395,,9330235978.0,
Periodo 282,11333.2555,,9330235978.0,
Periodo 283,11513.45,,9330235978.0,
Periodo 284,11513.45,,9330235978.0,
Periodo 285,11513.45,,9330235978.0,
Periodo 286,11513.45,,9330235978.0,
Periodo 287,11513.45,,9330235978.0,
Periodo 288,11513.85,,6441775468.0,
Periodo 289,11513.85,,6441775468.0,
Periodo 290,11513.85,,6441775468.0,
Periodo 291,11513.85,,6441775468.0,
Periodo 292,11513.85,,6441775468.0,
Periodo 293,11513.85,,6441775468.0,
Periodo 294,11513.85,,6441775468.0,
Periodo 295,11513.85,,6441775468.0,
Periodo 296,11513.85,,6441775468.0,
Periodo 297,11513.85,,6441775468.0,
Periodo 298,11513.85,,6441775468.0,
Periodo 299,11513.85,,6441775468.0,
Periodo 300,11513.85,,6441775468.0,
Periodo 301,11332.75,,11387959572.0,
Periodo 302,11332.75,,11387959572.0,
Periodo 303,11332.75,,11387959572.0,
Periodo 304,11332.75,,11387959572.0,
Periodo 305,11332.75,,11387959572.0,
Periodo 306,11332.75,,11387959572.0,
Periodo 307,11332.75,,11387959572.0,
Periodo 308,11332.75,,11387959572.0,
Periodo 309,11332.75,,11387959572.0,
Periodo 310,11332.75,,11387959572.0,
Periodo 311,11332.75,,11387959572.0,
Periodo 312,11332.75,,11387959572.0,
Periodo 313,11332.75,,11387959572.0,
Periodo 314,11328.25,,10379052657.0,
Periodo 315,11328.25,,10379052657.0,
Periodo 316,11328.25,,10379052657.0,
Periodo 317,11328.25,,10379052657.0,
Periodo 318,11328.25,,10379052657.0,
Periodo 319,11147.15,,10379052657.0,
Periodo 320,11147.15,,10379052657.0,
Periodo 321,11147.15,,10379052657.0,
Periodo 322,11020.380000000001,,10379052657.0,
Periodo 323,10522.355,,10379052657.0,
Periodo 324,10427.2775,,10379052657.0,
Periodo 325,9843.23,,10379052657.0,
Periodo 326,9385.9525,,10379052657.0,
Periodo 327,8887.9275,,8923788200.0,
Periodo 328,8394.43,,8923788200.0,
Periodo 329,7928.0975,,8923788200.0,
Periodo 330,7884.6335,,8923788200.0,
Periodo 331,7812.1935,,8923788200.0,
Periodo 332,7316.885,,8923788200.0,
Periodo 333,7253.5,,8923788200.0,
Periodo 334,7253.5,,8923788200.0,
Periodo 335,7253.5,,8923788200.0,
Periodo 336,7253.5,,8923788200.0,
Periodo 337,7253.5,,8923788200.0,
Periodo 338,7253.5,,8923788200.0,
Periodo 339,7253.5,,8923788200.0,
Periodo 340,11513.85,,12729408312.0,
Periodo 341,11513.85,,12729408312.0,
Periodo 342,11513.85,,12729408312.0,
Periodo 343,11513.85,,12729408312.0,
Periodo 344,11513.85,,12729408312.0,
Periodo 345,11513.85,,12729408312.0,
Periodo 346,11513.85,,12729408312.0,
Periodo 347,11513.85,,12729408312.0,
Periodo 348,11513.85,,12729408312.0,
Periodo 349,11513.85,,12729408312.0,
Periodo 350,11513.85,,12729408312.0,
Periodo 351,11513.85,,12729408312.0,
Periodo 352,11513.85,,12729408312.0,
Periodo 353,11332.75,,16214198285.0,
Periodo 354,11332.75,,16214198285.0,
Periodo 355,11332.75,,16214198285.0,
Periodo 356,11332.75,,16214198285.0,
Periodo 357,11332.75,,16214198285.0,
Periodo 358,11332.75,,16214198285.0,
Periodo 359,11332.75,,16214198285.0,
Periodo 360,11332.75,,16214198285.0,
Periodo 361,11332.75,,16214198285.0,
Periodo 362,11332.75,,16214198285.0,
Periodo 363,11332.75,,16214198285.0,
Periodo 364,11332.75,,16214198285.0,
Periodo 365,11332.75,,16214198285.0,
Periodo 366,11328.25,,13784235854.0,
Periodo 367,11328.25,,13784235854.0,
Periodo 368,11328.25,,13784235854.0,
Periodo 369,11328.25,,13784235854.0,
Periodo 370,11328.25,,13784235854.0,
Periodo 371,11147.15,,13784235854.0,
Periodo 372,11147.15,,13784235854.0,
Periodo 373,11147.15,,13784235854.0,
Periodo 374,11020.380000000001,,13784235854.0,
Periodo 375,10522.355,,13784235854.0,
Periodo 376,10427.2775,,13784235854.0,
Periodo 377,9843.23,,13784235854.0,
Periodo 378,9385.9525,,13784235854.0,
Periodo 379,8887.9275,,17318952150.0,
Periodo 380,8394.43,,17318952150.0,
Periodo 381,7928.0975,,17318952150.0,
Periodo 382,7884.6335,,17318952150.0,
Periodo 383,7812.1935,,17318952150.0,
Periodo 384,7316.885,,17318952150.0,
Periodo 385,7253.5,,17318952150.0,
Periodo 386,7253.5,,17318952150.0,
Periodo 387,7253.5,,17318952150.0,
Periodo 388,7253.5,,17318952150.0,
Periodo 389,7253.5,,17318952150.0,
Periodo 390,7253.5,,17318952150.0,
Periodo 391,7253.5,,17318952150.0,
Periodo 392,11513.85,,19180633191.0,
Periodo 393,11513.85,,19180633191.0,
Periodo 394,11513.85,,19180633191.0,
Periodo 395,11513.85,,19180633191.0,
Periodo 396,11513.85,,19180633191.0,
Periodo 397,11513.85,,19180633191.0,
Periodo 398,11513.85,,19180633191.0,
Periodo 399,11513.85,,19180633191.0,
Periodo 400,11513.85,,19180633191.0,
Periodo 401,11513.85,,19180633191.0,
Periodo 402,11513.85,,19180633191.0,
Periodo 403,11513.85,,19180633191.0,
Periodo 404,11513.85,,19180633191.0,
Periodo 405,11332.75,,7058427867.0,
Periodo 406,11332.75,,7058427867.0,
Periodo 407,11332.75,,7058427867.0,
Periodo 408,11332.75,,7058427867.0,
Periodo 409,11332.75,,7058427867.0,
Periodo 410,11332.75,,7058427867.0,
Periodo 411,11332.75,,7058427867.0,
Periodo 412,11332.75,,7058427867.0,
Periodo 413,11332.75,,7058427867.0,
Periodo 414,11332.75,,7058427867.0,
Periodo 415,11332.75,,7058427867.0,
Periodo 416,11332.75,,7058427867.0,
Periodo 417,11332.75,,7058427867.0,
Periodo 418,11328.25,,7570014787.0,
Periodo 419,11328.25,,7570014787.0,
Periodo 420,11328.25,,7570014787.0,
Periodo 421,11328.25,,7570014787.0,
Periodo 422,11328.25,,7570014787.0,
Periodo 423,11147.15,,7570014787.0,
Periodo 424,11147.15,,7570014787.0,
Periodo 425,11147.15,,7570014787.0,
Periodo 426,11020.380000000001,,7570014787.0,
Periodo 427,10522.355,,7570014787.0,
Periodo 428,10427.2775,,7570014787.0,
Periodo 429,9843.23,,7570014787.0,
Periodo 430,9385.9525,,7570014787.0,
Periodo 431,8887.9275,,7320463873.0,
Periodo 432,8394.43,,7320463873.0,
Periodo 433,7928.0975,,7320463873.0,
Periodo 434,7884.6335,,7320463873.0,
Periodo 435,7812.1935,,7320463873.0,
Periodo 436,7316.885,,7320463873.0,
