0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.82,4483691039.0,-46430453042.92373,-47402454321.98373,,143890645.2243077,1.561,2029952952.0,-20452390258.413334,-20596280903.63764,,521726858.9107692,1.42,9082305290.0,-69741050264.80615,-70262777123.71692
1.82,6942866279.0,-53373319321.92373,-53865259716.32373,,287263933.9823077,1.561,1198320556.0,-21650710814.413334,-21937974748.39564,,944275576.1092308,1.42,4776372652.0,-74517422916.80615,-75461698492.91539
1.82,3513859960.0,-56887179281.92373,-57252788113.90373,,204151490.18492308,1.561,2392332570.0,-24043043384.413334,-24247194874.598255,,1448298453.9430768,1.42,8644776401.0,-83162199317.80615,-84610497771.74922
1.82,2611491657.0,,,,,1.561,1700172564.0,,,,,1.42,13259070353.0,,
1.82,1540401888.0,,,,,1.561,2558729191.0,,,,,1.42,14636965958.0,,
1.82,3641157689.0,,,,,1.561,679981194.0,,,,,1.42,5009097095.0,,
1.82,2129799840.0,,,,,1.561,1235318519.0,,,,,1.42,3076657109.0,,
1.82,3999136982.0,,,,,1.561,1051986719.0,,,,,1.42,6336835871.0,,
1.82,3229493114.0,,,,,1.561,2280317814.0,,,,,1.42,4869241729.0,,
1.82,4841253891.0,,,,,1.561,1716153959.0,,,,,1.42,2366380350.0,,
1.82,2799733837.0,,,,,1.561,1043557130.0,,,,,1.42,8886117345.0,,
1.82,3108651811.0,,,,,1.561,2144985258.0,,,,,1.42,10960561216.0,,
1.82,2338729679.0,,,,,1.561,1892232865.0,,,,,1.42,9553273310.0,,
1.82,5089378170.0,,,,,1.561,813031055.0,,,,,1.42,11416542925.0,,
1.82,5928392971.0,,,,,1.561,1963865830.0,,,,,1.42,11288374390.0,,
1.82,1690158851.0,,,,,1.561,1631591332.0,,,,,1.42,3736677684.0,,
1.82,2434860447.0,,,,,1.561,803641152.0,,,,,1.42,4331513188.0,,
1.82,2751263430.0,,,,,1.561,899379883.0,,,,,1.42,3669820560.0,,
